"",[Omission -> Commission]: Estimates,[Passengers -> Pedestrians]: Estimates,Law [Illegal -> Legal]: Estimates,Gender [Male -> Female]: Estimates,Fitness [Large -> Fit]: Estimates,Social Status [Low -> High]: Estimates,Age [Elderly -> Young]: Estimates,No. Characters [Less -> More]: Estimates,Species [Pets -> Humans]: Estimates,[Omission -> Commission]: se,[Passengers -> Pedestrians]: se,Law [Illegal -> Legal]: se,Gender [Male -> Female]: se,Fitness [Large -> Fit]: se,Social Status [Low -> High]: se,Age [Elderly -> Young]: se,No. Characters [Less -> More]: se,Species [Pets -> Humans]: se
ar,-0.0607825518183514,0.102782038121506,0.26787981379602,0.0760004375950209,0.10002533685467,-0.170773364634811,0.0174270136697277,-0.543983755763479,0.0444408135906645,0.0200463500880322,0.0215273331174305,0.0268290521406231,0.031301192903661,0.0323550116630922,0.0305864568978261,0.0301463071264767,0.0287257558121716,0.0328933397761321
de,-0.0453410680671667,-0.265865621906763,0.00266098988823893,-0.0739130882794455,-0.0786788729934919,-0.503722115647975,-0.194277072379921,-0.848295876891844,-0.72430511815695,0.01370864521796,0.0202131283478038,0.0285761324463826,0.0322818850542946,0.0313414653147243,0.0249136317350108,0.0265193314505868,0.0192652245105775,0.022078284469846
en,0.0708917910025168,-0.226252106619523,-0.0507829030892915,-0.103957780527232,-0.053828893971468,-0.561825382126395,-0.113226597669587,-0.794565194047025,-0.713385654882689,0.0140656955742137,0.020483954021265,0.0296572594636888,0.0312753400553944,0.0303464953952595,0.0222434421298348,0.0292018797935599,0.0208973524561201,0.0222537134236081
es,0.051446726162505,-0.240463086933219,-0.0711178773379731,-0.111515877859128,-0.0211295460306323,-0.551919665887226,-0.287917516881762,-0.835475308864409,-0.786755312531294,0.0152001716490735,0.0198200731079589,0.0290759826254181,0.0316267777053817,0.0306854096559863,0.0225774819402161,0.027835377582067,0.0197581490047251,0.0191856175055363
fr,0.0405391264164139,-0.294665336764571,0.175468483816014,-0.136294811262978,-0.177902744770228,-0.534323595594691,-0.0537018129414113,-0.81209352542681,-0.699121866261424,0.0138317350099383,0.0200151409595482,0.0300841082707087,0.0306983178823023,0.0293731751243588,0.0230473606096759,0.0297676931356019,0.0202495053254202,0.0223324344527547
ja,-0.0482314333761388,-0.13210945324802,0.0744815911976334,-0.0425565770042304,-0.200390656731793,-0.50740244346571,-0.0067147415815345,-0.619364646631056,-0.618873720188933,0.014755914802443,0.0200918838087161,0.0304496912382716,0.0311246496803758,0.0313453369474882,0.0246225810966289,0.0294870050497359,0.0271760175855308,0.0247190274263458
ko,0.0590692769905893,-0.513003607245731,0.441599661447314,-0.0867071585226382,-0.142036390356159,-0.41086500489436,-0.068553225201562,-0.63087985869363,-0.587674492205976,0.0141716188830959,0.0187866358400984,0.0249542446373362,0.0298414245688039,0.0296904923166148,0.0254585779747759,0.0286768133290685,0.0258174419569072,0.0256950907646126
pt,0.0492022670757566,-0.300922655853066,0.0116714851697188,-0.0794773396568635,0.0179321322798081,-0.567042951623283,-0.16435696173387,-0.81537104449526,-0.77616982997959,0.0137053087584254,0.0201080066191118,0.0290569351743094,0.0309265771547522,0.0311783004489708,0.0219898304422598,0.0284267523353888,0.0195834920525293,0.018430677686178
ru,0.0286228477101376,-0.286455558904205,-0.0421074904782036,-0.152915524122023,-0.157093430948584,-0.551123242109196,-0.194315566348059,-0.717495302664916,-0.734009541454715,0.0134208781780405,0.0195599332056856,0.0283905790669043,0.0309053792975886,0.0296702875933687,0.023449276243436,0.0298289720793354,0.0237108152125994,0.0205533481010335
zh,0.0149166475984453,-0.151366635759969,0.00338552687262208,-0.0377426509346317,-0.0592528936759193,-0.558433233153728,0.11530513084797,-0.757443882000981,-0.650896276701293,0.0141398901837741,0.0208301412084515,0.0298534973183539,0.0321575217577562,0.0318753540547472,0.0226615212339863,0.0301256365580013,0.0220404767704125,0.0240642238669362
