"",[Omission -> Commission]: Estimates,[Passengers -> Pedestrians]: Estimates,Law [Illegal -> Legal]: Estimates,Gender [Male -> Female]: Estimates,Fitness [Large -> Fit]: Estimates,Social Status [Low -> High]: Estimates,Age [Elderly -> Young]: Estimates,No. Characters [Less -> More]: Estimates,Species [Pets -> Humans]: Estimates,[Omission -> Commission]: se,[Passengers -> Pedestrians]: se,Law [Illegal -> Legal]: se,Gender [Male -> Female]: se,Fitness [Large -> Fit]: se,Social Status [Low -> High]: se,Age [Elderly -> Young]: se,No. Characters [Less -> More]: se,Species [Pets -> Humans]: se
ar,-0.0172428734034183,0.0785499797060863,-0.104951333051205,0.0409988013161948,0.0315619808053549,-0.0961816000568923,-0.00103273017488922,-0.00566170862604708,0.0642611987451221,0.0134114003374132,0.0204916560114495,0.0268308698717948,0.0317622647314683,0.0315679763062159,0.0287748411723633,0.0317146143597281,0.0340615662044158,0.0325301221441912
de,-0.00351134701521439,0.117719805866343,0.146777281429485,-0.0305861343055116,-0.0917964581297004,-0.0753478215298992,0.0634766877451958,-0.360784897873979,-0.0559916535095729,0.0138078108599106,0.0210259789125897,0.0245000572591961,0.0313976004043496,0.033110729065759,0.0297512569664795,0.0309932039776666,0.0320015143851268,0.0319428474767844
en,-0.0942657490944395,-0.0197904142325036,0.383410918324159,-0.0697377058664472,-0.0350755524323126,-0.104788723787959,0.0765053456714146,-0.544038217998033,-0.142541754246785,0.0145228075956426,0.0219858102636112,0.0228669858480951,0.0319831913678613,0.0320297724843735,0.0295230809369706,0.0303786745614683,0.0295745802989229,0.0304127111940552
es,-0.047291215907862,-0.183021832350923,0.616589081675837,-0.0850309431811476,-0.118251335178508,-0.0224303652067905,-0.0385542047950913,-0.458904536599989,-0.0608187598114927,0.0151211429871554,0.0209501101416933,0.0215007904111705,0.0308486857592384,0.0319792193019386,0.0297910182916176,0.029191779074796,0.0302667227913585,0.0315501591896047
fr,-0.000597217910968783,0.130078978593888,0.235505713076596,-0.0702005335110309,-0.0612213263815017,-0.0382022518783623,0.0263329897171127,-0.194355062306607,-0.0238019192720543,0.014280921211513,0.0195873927879144,0.0250128632448502,0.0315465111160226,0.0319444071786162,0.029779699918173,0.0306918625115369,0.0337130145599166,0.0327576442973439
ja,0.074373131910114,0.151857877946629,0.12302227962545,-0.0565080221003809,-0.0693608484144396,0.00127390380895993,0.045252079086784,-0.156719156818777,-0.00233406337644887,0.0157153760856932,0.0211450828653532,0.02680909248086,0.0332015427682007,0.03091159074366,0.0300526232239404,0.0310226157406157,0.03351061104482,0.0320212380286877
ko,0.00310296485723867,0.0854134199192613,-0.0134054054054042,-0.0296328464647427,-0.00780901227260201,0.00875442022876416,0.0199433303171805,-0.0748759286037613,0.0189056084930048,0.014225472841253,0.0202952822276538,0.0253065937344089,0.0317236338044279,0.0315608161654733,0.0304192424915747,0.0310077395145928,0.0340298938421718,0.0327031281709276
pt,0.0338091564370693,0.0779150724455923,0.0744815911976297,-0.038390369270093,0.0189784382085353,-0.00874048215736335,-0.00159443842201732,-0.112796940670005,-0.0430931450936017,0.0137648355526918,0.0196597917432568,0.0255910363444677,0.0315040477305004,0.0322480044232211,0.0299543393879885,0.0311376560746766,0.0332793752930064,0.0322999585658626
ru,0.0310958486721126,0.0637286985919255,0.126322471434617,-0.0384601115865281,0.0101161530456765,-0.0235227643200245,0.00832111135919069,-0.22120065127628,-0.0695706352782247,0.0155632273108604,0.0204587547098731,0.0262076793060359,0.0323479783910364,0.0315167881031746,0.0304557269281227,0.0299929753970866,0.0332020169087176,0.0320217159518689
zh,0.0296509076680838,0.043094439314618,0.179280331175031,-0.0460594624489588,-0.0317205670511735,-0.0717218015088648,-0.0365135589829022,-0.17195884876469,-0.129009638889284,0.0150681665534355,0.0209515651245465,0.0260700831898883,0.0322073130664497,0.0318702760000575,0.0308672382848409,0.0313912878139951,0.0336547800178704,0.0306797547680044
