"",[Omission -> Commission]: Estimates,[Passengers -> Pedestrians]: Estimates,Law [Illegal -> Legal]: Estimates,Gender [Male -> Female]: Estimates,Fitness [Large -> Fit]: Estimates,Social Status [Low -> High]: Estimates,Age [Elderly -> Young]: Estimates,No. Characters [Less -> More]: Estimates,Species [Pets -> Humans]: Estimates,[Omission -> Commission]: se,[Passengers -> Pedestrians]: se,Law [Illegal -> Legal]: se,Gender [Male -> Female]: se,Fitness [Large -> Fit]: se,Social Status [Low -> High]: se,Age [Elderly -> Young]: se,No. Characters [Less -> More]: se,Species [Pets -> Humans]: se
ar,0.0432205045406483,-0.0260513372447529,-0.176430976430976,-0.00727878641538319,-0.0390293336240584,-0.00959474676411688,-0.0547232379024916,-0.00178426092582013,-0.0210973953784322,0.0215759487475311,0.0272494654936981,0.0474328602622428,0.0548493458704812,0.0515123712577759,0.0481260456403541,0.05112793965391,0.0556309666628363,0.0532878933929372
de,0.0517796784927909,0.0931741557748066,0.140145985401461,0.0690962308509389,0.0277015439654215,-0.0869347765937868,-0.000304867282598964,-0.0196420862592097,0.0997761050522475,0.0160839230097945,0.0216155854638406,0.0304050161097508,0.0338000906242474,0.032542994122757,0.0334272017653824,0.0325945133909914,0.0352356794988708,0.0348002955966237
en,0.0285013962339476,0.00456686420706079,0.0595478187028969,-0.0220388094996378,0.0175032191285436,-0.00653612992806586,0.0111183404590245,0.0047179245024588,-0.0143186742013557,0.0131056238591271,0.0196642003581979,0.0265402041898644,0.0313019381524916,0.0315560318050801,0.0301969442550995,0.0312950759126418,0.0338407303381933,0.032744315964163
es,0.0402463797136914,0.042151838157863,0.0607497741644114,0.0155762753025816,0.0349005551863955,-0.0100455554962886,0.034467188930767,0.019075981952814,0.0124627938658334,0.0131410022623836,0.0207072688818156,0.0272257824383801,0.0324309353396821,0.0330770409949432,0.0314536831340108,0.0320072567240885,0.0355919316728695,0.033894391495266
fr,-0.00611910609124468,0.0577781760820338,0.235431754874648,0.0194896390484836,-0.0114707888395557,-0.112498366934507,0.0436909225460604,0.0422827205662602,0.043713555393465,0.0140975889234859,0.0203420270458854,0.0262883018797493,0.0333638588773708,0.0325498180278645,0.0323012309707592,0.0306649700908175,0.0354742806407046,0.0336624561618251
ja,0.182369281327143,0.149936641274239,0.048997508601259,-0.0226146478276852,-0.0102532548231214,0.00698565329195701,-0.016991708632216,0.0148882928226449,0.000552593281230879,0.0157019427152896,0.0211663297691573,0.028386009965288,0.0345392025410735,0.0327001014673584,0.0314350455687109,0.0324834037498106,0.0356772391323125,0.0327428085186472
ko,0.0641864216614724,0.0845890059664031,0.0383999999999964,0.00386750427459905,0.0115807872427525,0.013999718040177,-0.00483034885437083,-0.0595056060937488,0.0016449246287734,0.015053464586734,0.0208451643675399,0.0269882120880587,0.0337637838859071,0.0340219061872478,0.0324870288269215,0.0325731874276225,0.0357014558572463,0.0342863023677574
pt,0.111326678745192,-0.0354220266485579,0.261914984972077,0.00151385767831055,-0.0179441490606347,-0.104685370076022,0.0303984691183559,-0.0105175304445737,0.071540435442058,0.013615316322923,0.0198614119961248,0.0262905331049141,0.0334144493062817,0.031990695592113,0.0307455750779473,0.0299618931725678,0.0333187974467126,0.0331094546402438
ru,0.0285241229639395,0.0845379684772598,0.0577768249544432,-0.0468507318254721,-0.00556016957995505,-0.0860669529370116,-0.00507479329294948,-0.0192875283244925,0.109873163508539,0.0145487020090879,0.0202519126202204,0.0271679351786823,0.0330168958762656,0.0322898813195294,0.0303451699948695,0.0309210941371087,0.0346290671341412,0.0331560099863469
zh,0.0402826025576377,0.11177732767443,0.0382622119307541,0.0156576548507572,0.00268887628903755,0.00831673855011263,-0.00294404719379789,-0.0171596594686545,0.00251746510584524,0.0150990058039112,0.0215054807419924,0.0272994311955805,0.033880329472006,0.0316946576564629,0.031467762008706,0.0312079629093502,0.034394973708979,0.0330161314694925
